Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year,PitStopNextLap,LapsRemaining
NOR,1.0,1.0,2,1.0,1,1.0535248573142382,-0.16203637285672773,3.291745795680613,0.15605702938928886,310.0,307.0,305.0,290.0,9.0,0.0,29.3,41.0,42.8,0.6,332,1,2023,0,51.0
NOR,2.0,1.0,2,2.0,1,-0.08463932347730514,-0.12673934690550306,0.9489970404050622,-0.10439387893179838,315.0,313.0,307.0,311.0,8.0,91.662,29.2,41.0,42.5,1.5,4,1,2023,0,50.0
NOR,3.0,1.0,2,3.0,1,-0.22047913174851486,-0.08007548208862851,-0.6313552161181034,-0.24783061105065848,310.0,322.0,307.0,293.0,8.0,179.237,29.2,40.0,43.1,1.0,189,1,2023,0,49.0
NOR,4.0,1.0,2,4.0,0,-0.2308838830203526,-0.15425906205391549,-0.199227645975049,-0.15723899076506428,309.0,316.0,308.0,312.0,8.0,266.342,29.4,39.0,43.2,1.3,23,1,2023,0,48.0
NOR,5.0,1.0,2,5.0,0,-0.20978535960801767,-0.11926116344125984,-0.21774739898118053,-0.20505123480468432,311.0,312.0,307.0,307.0,8.0,353.411,29.5,40.0,43.1,0.8,204,1,2023,0,47.0
NOR,6.0,1.0,2,6.0,0,-0.3097865801651223,-0.17370233906094665,-0.9894037742366318,-0.09684457724133183,312.0,319.0,307.0,305.0,8.0,440.553,29.5,42.0,43.3,1.6,145,1,2023,0,46.0
NOR,7.0,1.0,2,7.0,0,-0.29013316109609266,-0.1796848858323406,-0.32886591701795875,-0.25537991274112504,308.0,310.0,309.0,308.0,8.0,527.349,29.7,41.0,43.4,1.7,164,1,2023,0,45.0
NOR,8.0,1.0,2,8.0,0,-0.35834208610036106,-0.20630721896504386,-0.9461910172223286,-0.1886944144753386,313.0,319.0,308.0,310.0,8.0,614.213,29.6,42.0,43.6,1.8,160,1,2023,0,44.0
NOR,9.0,1.0,2,9.0,0,-0.28175155590489137,-0.22515224129493594,-0.21466077348015497,-0.07419667216993216,308.0,319.0,307.0,320.0,8.0,700.841,29.7,43.0,43.6,1.0,162,1,2023,0,43.0
NOR,10.0,1.0,2,10.0,0,-0.26094205336121584,-0.20002554485507984,-0.49245706857211696,0.023944249806128595,314.0,320.0,307.0,319.0,8.0,787.734,29.8,41.0,44.1,0.6,178,1,2023,0,42.0
NOR,11.0,1.0,2,11.0,0,-0.23175094562633908,-0.22036620387782013,0.31623881269559734,-0.09306992639609855,311.0,318.0,309.0,313.0,8.0,874.699,29.9,41.0,43.9,2.2,162,1,2023,0,41.0
NOR,12.0,1.0,2,12.0,0,-0.12423518248401969,-0.1952395074379651,0.7051536258243376,0.11076121924648952,312.0,318.0,309.0,315.0,8.0,961.765,29.9,41.0,43.9,1.8,181,1,2023,0,40.0
NOR,13.0,1.0,2,13.0,0,-0.14706783110832758,-0.23472431612916647,1.1496276979714835,-0.0037365230589169324,313.0,320.0,309.0,329.0,8.0,1049.203,29.8,41.0,43.1,1.2,172,1,2023,0,39.0
NOR,14.0,1.0,2,14.0,0,-0.11267434773753192,-0.24609115499481424,1.2175334589939584,0.1661227649765761,311.0,322.0,310.0,339.0,8.0,1136.562,29.9,41.0,43.7,1.2,199,1,2023,0,38.0
NOR,15.0,1.0,2,15.0,0,-0.020765711502973277,-0.1623355001952978,1.408904240057314,0.1359255582147099,314.0,321.0,307.0,333.0,7.0,1224.04,30.0,42.0,43.7,2.0,258,1,2023,0,37.0
NOR,16.0,1.0,2,16.0,0,-0.19331117009427454,-0.18088139518661875,0.0477023941067011,0.017653165064070154,314.0,318.0,309.0,313.0,7.0,1311.836,30.0,42.0,43.5,0.8,156,1,2023,0,36.0
NOR,17.0,1.0,2,17.0,0,-0.07828086436673626,-0.11327861666986587,0.8409651478692985,-0.08929527555086528,311.0,309.0,309.0,309.0,7.0,1399.035,29.9,41.0,43.7,1.7,0,1,2023,0,35.0
NOR,18.0,1.0,2,18.0,0,-0.1722126466819396,-0.15874597213246122,-0.029463243418850604,0.04785037182593638,315.0,317.0,307.0,315.0,7.0,1486.632,29.8,39.0,43.5,1.5,268,1,2023,0,34.0
NOR,19.0,1.0,2,19.0,0,-0.16990047973263958,-0.1524642980224972,0.27919930668333426,-0.09432814334451113,311.0,318.0,308.0,312.0,7.0,1573.904,29.7,40.0,43.5,1.3,216,1,2023,0,33.0
NOR,20.0,1.0,2,20.0,0,-0.0438873809959406,-0.17818924913949238,1.4860698775828547,0.07049827689733604,312.0,317.0,308.0,312.0,5.0,1661.184,29.9,40.0,44.3,0.8,201,1,2023,1,32.0
NOR,21.0,1.0,2,21.0,0,-0.04330933925861764,-0.14109745915684835,1.0261626779306139,0.10447013450443554,313.0,317.0,307.0,317.0,3.0,1748.9,30.0,39.0,44.4,1.6,180,1,2023,1,31.0
NOR,22.0,1.0,2,22.0,0,1.0922536537149623,-0.15994248148674042,0.06313552161180705,5.519835880465576,314.0,318.0,309.0,310.0,4.0,1836.618,30.0,39.0,44.0,1.3,145,1,2023,1,30.0
NOR,23.0,2.0,3,1.0,1,5.322074066585514,5.651802579584041,-0.38442517603635334,-0.329614712697378,316.0,304.0,308.0,283.0,11.0,1928.265,30.0,40.0,43.7,1.7,134,1,2023,0,29.0
NOR,24.0,2.0,3,2.0,1,-0.4982281865328396,-0.17669361244664308,-1.8351391615166093,-0.5598684142565991,308.0,330.0,307.0,331.0,9.0,2034.547,29.9,41.0,43.6,1.5,210,1,2023,0,28.0
NOR,25.0,2.0,3,3.0,1,-0.41730234330743754,-0.19643601679224432,-0.9276712642161971,-0.4944411329392252,305.0,305.0,308.0,313.0,8.0,2120.691,29.9,41.0,43.5,1.7,177,1,2023,0,27.0
NOR,26.0,2.0,3,4.0,0,-0.42366080241800647,-0.20092292687078897,-1.0017502762407122,-0.4730514448162336,307.0,308.0,306.0,335.0,8.0,2207.115,29.8,40.0,43.6,1.6,156,1,2023,0,26.0
NOR,27.0,2.0,3,5.0,0,-0.39967207031904856,-0.18387266857231627,-0.9492776427233431,-0.4617274922805383,305.0,307.0,306.0,323.0,8.0,2293.517,29.9,39.0,43.4,1.7,153,1,2023,0,25.0
NOR,28.0,2.0,3,6.0,0,-0.4253949276299794,-0.20570896428790478,-0.9554508937253943,-0.4793425295582921,311.0,310.0,308.0,314.0,7.0,2380.002,29.9,41.0,43.0,1.2,174,1,2023,0,24.0
NOR,29.0,2.0,3,7.0,0,-0.4034293416116539,-0.22844264201920245,-0.9924903997376464,-0.27299495001887886,313.0,318.0,310.0,322.0,7.0,2466.398,29.9,41.0,43.3,0.8,112,1,2023,0,23.0
NOR,30.0,2.0,3,8.0,0,-0.2600749907552294,-0.09084406627713827,-0.31034616401182724,-0.5057650854749206,306.0,316.0,309.0,339.0,7.0,2552.87,29.7,42.0,42.5,0.8,317,1,2023,0,22.0
NOR,31.0,2.0,3,9.0,0,-0.2771272220062996,-0.12344894618123656,-0.13132188495256306,-0.5158308210622122,311.0,316.0,309.0,317.0,7.0,2639.838,29.7,41.0,42.5,1.2,190,1,2023,0,21.0
NOR,32.0,2.0,3,10.0,0,-0.37048096258417174,-0.2350234434677355,-0.6004889611078806,-0.261670997483179,313.0,319.0,308.0,313.0,7.0,2726.747,29.8,41.0,42.6,1.1,136,1,2023,0,20.0
NOR,33.0,2.0,3,11.0,0,-0.40834269637891335,-0.2398094808848513,-0.6437017181221838,-0.3887509092726934,316.0,319.0,310.0,321.0,7.0,2813.333,29.9,41.0,42.6,1.1,174,1,2023,0,19.0
